Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;5;Stride;0.12;-;4.3;4.22;487;17.17 (R) ;4.03 (B) ;;2.39;
;-5;Stride;0.11;-;3.79;2.87;455;15.36 (R) ;9.47 (B) ;;2.06;
;-4;Stride;0.09;-;3.84;2.69;443;19.38 (R) ;11.51 (B) ;;1.89;
;-3;Stride;0.07;-;3.87;3.25;464;19.13 (R) ;13.56 (B) ;;2.14;
;-2;Stride;0.07;-;3.91;3.14;460;11.34 (R) ;11.85 (B) ;;2.29;
;-1;Stride;0.06;-;2.58;1.53;442;9.88 (R) ;9.37 (B) ;;0.96;
14b;28;Jump;-;1.77;7.09;5.53;383;9.52 (R) ;undefined ;45.08;6.61;
;1;Stride;0.03;-;1.75;2.21;351;3.96 (R) ;2.21 (B) ;;1.34;
;2;Stride;0.11;-;2.28;5.56;279;5.31 (R) ;11.5 (B) ;;1.39;
;3;Stride;0.11;-;1.94;3.83;291;11.67 (R) ;7.64 (B) ;;1.31;
;4;Stride;0.23;-;1.9;3.99;187;7 (R) ;8.6 (B) ;;1.58;
;5;Stride;0.1;-;0.97;1.55;107;-0.88 (L) ;0.29 (B) ;;0.19;
;-5;Stride;0.13;-;3.2;2.56;349;24.92 (R) ;7.52 (B) ;;1.21;
;-4;Stride;0.11;-;3.18;1.99;353;23.44 (R) ;5.72 (B) ;;1.13;
;-3;Stride;0.09;-;3.57;2.43;397;22.81 (R) ;3.88 (B) ;;1.39;
;-2;Stride;0.06;-;3.59;2.13;449;11.25 (R) ;2.47 (B) ;;0.92;
;-1;Stride;0.06;-;3.01;2.19;440;6.92 (R) ;2.91 (B) ;;1.27;
14c;29;Jump;-;1.82;7.7;5.55;409;7.77 (R) ;undefined ;36.97;7.09;
;1;Stride;0.02;-;2.07;1.74;444;3.7 (R) ;-2.1 (F) ;;1.93;
;2;Stride;0.03;-;3.22;1.6;379;-3.31 (L) ;3.72 (B) ;;2.3;
;3;Stride;0.04;-;3.6;3.38;423;-3.1 (L) ;3.37 (B) ;;2.35;
;4;Stride;0.04;-;3.6;2.86;480;0.46 (R) ;-1.2 (F) ;;2.26;
;5;Stride;0.06;-;4.27;2.4;545;6.31 (R) ;-3.53 (F) ;;1.9;
;-5;Stride;0.11;-;4.4;2.12;498;0.16 (R) ;-5.13 (F) ;;2.6;
;-4;Stride;0.08;-;3.95;1.83;526;0.22 (R) ;-4.98 (F) ;;1.98;
;-3;Stride;0.13;-;4.63;2;534;1.2 (R) ;-4.17 (F) ;;2.36;
;-2;Stride;0.08;-;4.2;3.72;536;3.45 (R) ;-4.22 (F) ;;2.54;
;-1;Stride;0.07;-;3.39;3.09;536;7.75 (R) ;-5.28 (F) ;;1.91;
15;30;Jump;-;1.73;8.57;4.06;489;7.39 (R) ;undefined ;28.28;6.63;
;1;Stride;0.04;-;3.01;3.06;547;12.24 (R) ;-12.02 (F) ;;3.5;
;2;Stride;0.05;-;4.65;2.14;527;4.98 (R) ;-5.79 (F) ;;1.94;
;3;Stride;0.06;-;3.81;2.77;544;8.12 (R) ;-6.58 (F) ;;1.67;
;4;Stride;0.1;-;4.84;2.92;570;6.56 (R) ;-7.58 (F) ;;2.57;
;5;Stride;0.16;-;5.74;3.83;604;5.42 (R) ;-4.93 (F) ;;3.27;
;-5;Stride;0.1;-;4.28;3.01;494;10.24 (R) ;2.86 (B) ;;1.62;
;-4;Stride;0.13;-;4.33;2.42;500;9.41 (R) ;2.26 (B) ;;2.5;
;-3;Stride;0.1;-;4.33;3.4;490;9.74 (R) ;5.63 (B) ;;2.19;
;-2;Stride;0.11;-;4.42;2.89;509;10.6 (R) ;5.46 (B) ;;2.35;
;-1;Stride;0.07;-;3.08;2.81;485;11.13 (R) ;3.3 (B) ;;1.78;
16;31;Jump;-;1.8;6.9;4.24;402;9.96 (R) ;undefined ;40.11;5.25;
;1;Stride;0.07;-;0.94;4.2;403;-3.07 (L) ;-23.67 (F) ;;2.23;
;2;Stride;0.07;-;5.46;1.67;442;2.63 (R) ;3.8 (B) ;;3.04;
;3;Stride;0.06;-;4.33;2.46;541;8.68 (R) ;-4.23 (F) ;;1.39;
;4;Stride;0.07;-;4.91;2.39;536;11.64 (R) ;0.72 (B) ;;2.24;
;5;Stride;0.08;-;4.99;3.16;575;11.36 (R) ;0.34 (B) ;;2.03;
;-5;Stride;0.18;-;3.58;2.36;398;-0.16 (L) ;-4.23 (F) ;;2.04;
;-4;Stride;0.22;-;3.78;2.82;384;0.37 (R) ;-0.88 (F) ;;2.42;
;-3;Stride;0.15;-;3.34;2.94;401;3.84 (R) ;-4.06 (F) ;;1.85;
;-2;Stride;0.1;-;3.36;3.11;403;2.65 (R) ;4.09 (B) ;;1.93;
;-1;Stride;0.09;-;3.16;2.22;404;4.15 (R) ;6.51 (B) ;;1.82;
17a;32;Jump;-;1.58;5.96;5.71;354;-0.7 (L) ;undefined ;25.67;3.02;
;1;Stride;0.05;-;2.08;3.28;366;-3.29 (L) ;-10.36 (F) ;;0.76;
;2;Stride;0.05;-;2.8;2.08;357;5.81 (R) ;1.71 (B) ;;1.35;
