Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
1257;665.46;500 ms;2.3 G;canter;377 m/min;8 cm;3.14 m;R;4.9 º (R);3.7 º (B);845.13;
1258;665.84;380 ms;2.2 G;canter;390 m/min;8 cm;2.47 m;R;8.2 º (R);0.9 º (B);521.33;
1259;667.07;310 ms;2.3 G;canter;415 m/min;6 cm;2.15 m;R;9.1 º (R);-5.6 º (F);1252.04;
1260;667.62;550 ms;3.1 G;canter;434 m/min;6 cm;3.98 m;R;22.4 º (R);2.9 º (B);1638.49;
1261;668.11;490 ms;3.1 G;canter;521 m/min;6 cm;4.26 m;R;18.3 º (R);0.3 º (B);1214.15;
1262;668.57;460 ms;2.1 G;canter;566 m/min;5 cm;4.34 m;R;14.4 º (R);-2.4 º (F);1021.05;
1263;669.08;510 ms;3.2 G;canter;608 m/min;6 cm;5.17 m;R;15.2 º (R);-3.4 º (F);1793.79;
1264;669.58;500 ms;3.4 G;canter;634 m/min;9 cm;5.28 m;R;12.8 º (R);-1.8 º (F);1807.6;
1265;670.08;500 ms;4.3 G;canter;635 m/min;9 cm;5.29 m;R;10.8 º (R);-3 º (F);2059.75;
1266;670.61;530 ms;3.5 G;canter;630 m/min;10 cm;5.56 m;R;10.1 º (R);-1.8 º (F);2496.88;
1267;671.15;540 ms;3.5 G;canter;607 m/min;10 cm;5.46 m;R;10.1 º (R);0 º (F);2686.74;
1268;671.65;500 ms;3.9 G;canter;618 m/min;10 cm;5.15 m;R;9.7 º (R);-0.4 º (F);1862.97;
1269;672.16;510 ms;4.4 G;canter;610 m/min;8 cm;5.18 m;R;10.3 º (R);0.8 º (B);2718.81;
1270;672.66;500 ms;3.4 G;canter;614 m/min;9 cm;5.12 m;R;7.8 º (R);-1.5 º (F);2026.14;
1271;673.18;520 ms;4.3 G;canter;623 m/min;12 cm;5.4 m;R;6.7 º (R);0.2 º (B);2779.31;
1272;673.7;520 ms;4 G;canter;616 m/min;14 cm;5.34 m;R;7.4 º (R);-1.3 º (F);2347.14;
1273;674.22;520 ms;4 G;canter;635 m/min;14 cm;5.5 m;R;8.2 º (R);-2.2 º (F);2708.52;
1274;674.75;530 ms;3.8 G;canter;610 m/min;14 cm;5.39 m;R;7.2 º (R);-1 º (F);2581;
1275;675.28;530 ms;3.8 G;canter;593 m/min;15 cm;5.24 m;R;4.8 º (R);-1.3 º (F);2498.01;
1276;675.81;530 ms;4.3 G;canter;548 m/min;15 cm;4.84 m;R;10 º (R);4.5 º (B);2678.12;
1277;676.33;520 ms;3.4 G;canter;524 m/min;11 cm;4.55 m;R;5.6 º (R);3.8 º (B);1885.63;
1278;676.88;550 ms;4 G;canter;524 m/min;18 cm;4.8 m;R;5.9 º (R);2.4 º (B);2296.45;
1279;677.44;560 ms;2.9 G;canter;504 m/min;21 cm;4.7 m;S;2.1 º (R);-1.5 º (F);2605.16;
1280;677.94;500 ms;2.3 G;canter;452 m/min;14 cm;3.77 m;S;-1.7 º (L);-0.3 º (F);1861.2;
1281;678.48;540 ms;2.2 G;canter;425 m/min;13 cm;3.82 m;S;-0.7 º (L);-0.5 º (F);1662.45;
