Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-5;Stride;0.16;-;4.32;3.13;479;0.12 (R) ;-1.44 (F) ;;2.03;
;-4;Stride;0.18;-;4.55;5.17;463;-7.57 (L) ;-1.38 (F) ;;2.81;
;-3;Stride;0.19;-;3.85;4.37;405;-5.67 (L) ;7.59 (B) ;;2.29;
;-2;Stride;0.08;-;2.96;2.06;386;-2.39 (L) ;-0.14 (F) ;;1.1;
;-1;Stride;0.12;-;2.78;2.82;355;-1.97 (L) ;-1.97 (F) ;;1.9;
12a;23;Jump;-;1.59;6.27;6.15;355;-7.21 (L) ;undefined ;36.32;6.57;
;1;Stride;0.1;-;2.35;1.63;486;-6.1 (L) ;-12.7 (F) ;;1.18;
;2;Stride;0.09;-;3.63;3.25;444;-6.43 (L) ;-3.9 (F) ;;1.99;
;3;Stride;0.11;-;3.42;3.34;437;-3.39 (L) ;-6.32 (F) ;;2.38;
;-3;Stride;0.1;-;2.35;1.63;486;-6.1 (L) ;-12.7 (F) ;;1.18;
;-2;Stride;0.09;-;3.63;3.25;444;-6.43 (L) ;-3.9 (F) ;;1.99;
;-1;Stride;0.11;-;3.42;3.34;437;-3.39 (L) ;-6.32 (F) ;;2.38;
12b;24;Jump;-;1.59;8.13;7.76;473;-0.26 (L) ;undefined ;31.85;7.79;
;1;Stride;0.09;-;2.34;1.49;539;6.58 (R) ;-16.73 (F) ;;1.04;
;2;Stride;0.1;-;4.15;4.01;498;-2.54 (L) ;-5.74 (F) ;;2.68;
;3;Stride;0.09;-;4.81;3.11;555;-5.77 (L) ;-8.01 (F) ;;2.05;
;4;Stride;0.11;-;4.97;2.82;562;-5.23 (L) ;-9.34 (F) ;;2.8;
;5;Stride;0.1;-;5.46;4.53;643;-2.83 (L) ;-9.88 (F) ;;3.28;
;-5;Stride;0.17;-;4.73;5.23;536;-0.85 (L) ;-1.46 (F) ;;2.89;
;-4;Stride;0.15;-;4.33;4.22;500;-1.16 (L) ;-2.17 (F) ;;3.16;
;-3;Stride;0.19;-;4.2;5.74;449;0.36 (R) ;2.6 (B) ;;3.11;
;-2;Stride;0.12;-;3.76;3.21;442;0.15 (R) ;-3.1 (F) ;;1.63;
;-1;Stride;0.09;-;3.4;2.83;434;-0.11 (L) ;-4.15 (F) ;;1.6;
13;25;Jump;-;1.57;7.23;6.1;421;3.28 (R) ;undefined ;33.96;6.31;
;1;Stride;0.14;-;2.51;2.3;501;2.04 (R) ;-14.78 (F) ;;0.98;
;2;Stride;0.15;-;4.36;3.5;502;13.05 (R) ;-4.38 (F) ;;2.47;
;3;Stride;0.12;-;4.26;1.96;511;17.74 (R) ;-4.08 (F) ;;2.54;
;4;Stride;0.11;-;4.49;2.14;539;20.92 (R) ;-4.62 (F) ;;2.32;
;5;Stride;0.1;-;4.48;2.39;559;13.83 (R) ;-6.35 (F) ;;2.1;
;-5;Stride;0.19;-;4.51;3.48;466;11.77 (R) ;-1.96 (F) ;;2.63;
;-4;Stride;0.17;-;3.87;2.69;430;18.3 (R) ;0.58 (B) ;;2.23;
;-3;Stride;0.19;-;3.79;4.41;407;17.46 (R) ;1.68 (B) ;;2.83;
;-2;Stride;0.12;-;3.25;2.9;415;13.87 (R) ;2.61 (B) ;;1.54;
;-1;Stride;0.12;-;3.17;2.44;405;8.22 (R) ;-0.29 (F) ;;1.6;
14a;26;Jump;-;1.67;6.55;6.91;357;6.28 (R) ;undefined ;35.37;6.32;
;1;Stride;0.12;-;1.87;1.6;432;-5.48 (L) ;-16.55 (F) ;;1.2;
;2;Stride;0.11;-;4.03;3.57;410;7.43 (R) ;-4.93 (F) ;;1.87;
;3;Stride;0.09;-;3.94;2.09;493;8.54 (R) ;-9.59 (F) ;;1.65;
;4;Stride;0.16;-;4.31;2.98;479;10.11 (R) ;-4.95 (F) ;;2.4;
;5;Stride;0.18;-;4.57;3.28;489;13.01 (R) ;-7.3 (F) ;;3.21;
;-5;Stride;0.18;-;4.17;2.82;447;14.57 (R) ;-3.44 (F) ;;2.47;
;-4;Stride;0.2;-;4.2;2.89;435;13.39 (R) ;-3.58 (F) ;;2.8;
;-3;Stride;0.17;-;3.86;3.5;413;10.62 (R) ;1.05 (B) ;;2.58;
;-2;Stride;0.1;-;2.87;1.7;400;8.46 (R) ;5.23 (B) ;;0.99;
;-1;Stride;0.14;-;3.26;2.91;383;4.43 (R) ;0.01 (B) ;;2.66;
14b;27;Jump;-;1.56;5.57;5.85;312;8.79 (R) ;undefined ;37.74;6.11;
;1;Stride;0.03;-;1.75;1.81;375;-7.37 (L) ;-16.37 (F) ;;0.79;
;2;Stride;0.12;-;3.66;3.03;385;-1.07 (L) ;4.34 (B) ;;2.42;
