Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3782;1995.52;550 ms;5.6 G;canter;608 m/min;12 cm;5.58 m;S;-1.2 º (L);-5.1 º (F);3114.19;
3783;1996.02;500 ms;3.1 G;canter;627 m/min;11 cm;5.22 m;S;1.9 º (R);-4.5 º (F);1820.78;
3784;1996.52;500 ms;7.7 G;canter;659 m/min;10 cm;5.49 m;S;-0.4 º (L);-7.2 º (F);2338.37;
3785;1997.01;490 ms;4.5 G;canter;631 m/min;10 cm;5.15 m;S;0.4 º (R);-6.4 º (F);2429.63;
3786;1997.57;560 ms;4.4 G;canter;631 m/min;14 cm;5.89 m;S;2.7 º (R);-4.7 º (F);2827.96;
3787;1998.08;510 ms;6.3 G;canter;625 m/min;12 cm;5.31 m;S;4.4 º (R);-5 º (F);2654.17;
3788;1998.61;530 ms;6.1 G;canter;617 m/min;12 cm;5.45 m;S;3.5 º (R);-4.1 º (F);2511.99;
3789;1999.11;500 ms;4.8 G;canter;649 m/min;11 cm;5.41 m;S;2.6 º (R);-6.3 º (F);2434.78;
3790;1999.66;550 ms;4.7 G;canter;618 m/min;12 cm;5.66 m;S;3.8 º (R);-4.9 º (F);2592.28;
3791;2000.19;530 ms;4.7 G;canter;636 m/min;11 cm;5.62 m;S;4.6 º (R);-6.8 º (F);2688.88;
3792;2000.68;490 ms;4.5 G;canter;649 m/min;11 cm;5.3 m;S;3.1 º (R);-7.2 º (F);2200.27;
3793;2001.22;540 ms;7.3 G;canter;611 m/min;13 cm;5.5 m;S;1.2 º (R);-5.3 º (F);2916.52;
3794;2001.73;510 ms;4.7 G;canter;649 m/min;10 cm;5.52 m;S;1.8 º (R);-6.6 º (F);2348.2;
3795;2002.26;530 ms;5.3 G;canter;609 m/min;13 cm;5.38 m;S;1.7 º (R);-4.2 º (F);2758.27;
3796;2002.77;510 ms;6.3 G;canter;598 m/min;11 cm;5.08 m;S;-1.8 º (L);-4.1 º (F);2363.74;
3797;2003.32;550 ms;4.7 G;canter;594 m/min;11 cm;5.45 m;L;-2.7 º (L);-3.2 º (F);3226.06;
3798;2003.8;480 ms;3.1 G;canter;594 m/min;9 cm;4.75 m;S;-2.9 º (L);-3.4 º (F);1514.05;
3799;2004.35;550 ms;4.9 G;canter;584 m/min;14 cm;5.36 m;S;-1.7 º (L);-3.8 º (F);2988.63;
3800;2004.84;490 ms;4.7 G;canter;559 m/min;10 cm;4.56 m;S;-1.5 º (L);-5.2 º (F);2273.4;
3801;2005.38;540 ms;4.8 G;canter;594 m/min;12 cm;5.35 m;S;-3.4 º (L);-4 º (F);2600.1;
