Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;5;Stride;0.11;-;4.63;2.84;534;-2.54 (L) ;-8.74 (F) ;;2.03;
;-5;Stride;0.16;-;5.65;4.11;605;-3.92 (L) ;-10.93 (F) ;;4.54;
;-4;Stride;0.15;-;5.15;4.69;562;-1.19 (L) ;-7.17 (F) ;;3.41;
;-3;Stride;0.11;-;4.69;3.64;562;-1.16 (L) ;-9.64 (F) ;;3.3;
;-2;Stride;0.1;-;4.17;2.99;543;0.29 (R) ;-8.23 (F) ;;2.64;
;-1;Stride;0;-;0.1;-2.55;571;8.13 (R) ;-27.91 (F) ;;0;
15;29;Jump;-;1.61;8.45;5.28;487;2.56 (R) ;undefined ;30.07;7.75;
;1;Stride;0.01;-;2.59;2.81;555;5.14 (R) ;-6.44 (F) ;;2.15;
;2;Stride;0.05;-;4.44;2.76;543;4.08 (R) ;-7.96 (F) ;;2.11;
;3;Stride;0.08;-;4.66;2.16;582;4.38 (R) ;-11.04 (F) ;;1.55;
;4;Stride;0.12;-;5.2;3.49;612;6.32 (R) ;-11.7 (F) ;;2.74;
;5;Stride;0.16;-;5.75;3.5;639;7.12 (R) ;-12.6 (F) ;;3.79;
;-5;Stride;0.19;-;5.02;4.04;510;10.56 (R) ;-1.88 (F) ;;4.11;
;-4;Stride;0.16;-;4.35;2.91;483;14.5 (R) ;0.43 (B) ;;2.48;
;-3;Stride;0.14;-;3.97;2.64;449;16.72 (R) ;-0.96 (F) ;;2.48;
;-2;Stride;0.15;-;3.95;2.41;464;15.71 (R) ;1.75 (B) ;;2.05;
;-1;Stride;0.1;-;2.92;3.78;438;11.17 (R) ;2.76 (B) ;;2.13;
16;30;Jump;-;1.64;7.04;4.49;398;6.41 (R) ;undefined ;38.15;6.43;
;1;Stride;0;-;0.14;-0.4;418;-4.21 (L) ;-22.75 (F) ;;0;
;2;Stride;0.05;-;4.82;2.51;391;5.52 (R) ;3.87 (B) ;;3.96;
;3;Stride;0.06;-;4.1;3.51;502;8.09 (R) ;-2.16 (F) ;;1.87;
;4;Stride;0.08;-;4.54;3.6;544;7.98 (R) ;-2.32 (F) ;;2.1;
;5;Stride;0.1;-;5.11;2.55;613;9 (R) ;-6.24 (F) ;;2.15;
;-5;Stride;0.17;-;5.52;5.13;552;10.67 (R) ;1.83 (B) ;;3.6;
;-4;Stride;0.2;-;5.67;2.48;515;7.62 (R) ;-6.56 (F) ;;2.43;
;-3;Stride;0.08;-;3.87;2.66;505;4.03 (R) ;-12.12 (F) ;;1.4;
;-2;Stride;0.06;-;3.71;2.71;505;3.98 (R) ;-7.82 (F) ;;1.22;
;-1;Stride;0.1;-;4.04;3.96;527;2.56 (R) ;-2.22 (F) ;;3.65;
17a;31;Jump;-;1.37;9.78;11.99;506;2.18 (R) ;undefined ;30.54;8.96;
;1;Stride;0.06;-;3.04;3.56;521;10.96 (R) ;-12.05 (F) ;;0.96;
;2;Stride;0.09;-;3.94;3.59;483;11.58 (R) ;-1.25 (F) ;;3.87;
;3;Stride;0.06;-;2.72;3.12;453;13.28 (R) ;2.39 (B) ;;1.78;
;-3;Stride;0.06;-;3.04;3.56;521;10.96 (R) ;-12.05 (F) ;;0.96;
;-2;Stride;0.09;-;3.94;3.59;483;11.58 (R) ;-1.25 (F) ;;3.87;
;-1;Stride;0.06;-;2.72;3.12;453;13.28 (R) ;2.39 (B) ;;1.78;
17b;32;Jump;-;1.51;5.97;6.26;407;9.78 (R) ;undefined ;39.02;5.3;
;1;Stride;0.07;-;0.83;3.19;414;9.13 (R) ;-25.79 (F) ;;1.95;
;2;Stride;0.07;-;5.14;2.58;441;1.1 (R) ;-4.01 (F) ;;2.87;
;3;Stride;0.07;-;4.54;2.85;470;7.05 (R) ;-2.36 (F) ;;2.11;
;4;Stride;0.08;-;4.47;2.68;536;5.89 (R) ;-7.83 (F) ;;1.9;
;5;Stride;0.09;-;4.81;2.17;589;3.02 (R) ;-7.81 (F) ;;1.97;
;-5;Stride;0.15;-;4.35;3.69;474;10.44 (R) ;-4.55 (F) ;;2.77;
;-4;Stride;0.17;-;4.38;3.07;477;6.35 (R) ;-4.12 (F) ;;2.5;
;-3;Stride;0.19;-;4.57;4.54;457;6.8 (R) ;-2.52 (F) ;;3.12;
;-2;Stride;0.13;-;3.7;2.92;472;4.78 (R) ;-6.21 (F) ;;2.02;
;-1;Stride;0.1;-;2.97;3.6;435;1.34 (R) ;-9.37 (F) ;;1.92;
